405.955888	0.01	16.0447094	0.0301
445.955888	0.02	16.97355365	0.0302
465.955888	0.03	17.45038497	0.0303
485.955888	0.04	17.93461311	0.0304
495.955888	0.05	18.17931664	0.0305
505.955888	0.06	18.42565493	0.0306
515.955888	0.08	18.67356328	0.0308
525.955888	0.10	18.92297998	0.031
535.955888	0.13	19.17384618	0.0313
545.955888	0.15	19.42610572	0.0315
555.955888	0.18	19.67970501	0.0318
565.955888	0.23	19.93459293	0.0323
575.955888	0.28	20.19072068	0.0328
585.955888	0.35	20.44804165	0.0335
595.955888	0.43	20.70651138	0.0343
605.955888	0.56	27.19516169	0.0356
625.955888	0.88	27.59984115	0.0388
645.955888	1.30	28.01152697	0.043
